ticker,beta,r2,p_valor,whitelist
SUZB3,0.301,0.035,0.000,False
KLBN11,0.459,0.114,0.000,False
TAEE11,0.482,0.225,0.000,True
BBSE3,0.496,0.173,0.000,False
SLCE3,0.537,0.097,0.000,False
VIVT3,0.538,0.180,0.000,False
EGIE3,0.545,0.240,0.000,False
PSSA3,0.611,0.176,0.000,False
TIMS3,0.621,0.188,0.000,False
NEOE3,0.633,0.208,0.000,False
ABEV3,0.637,0.225,0.000,False
AURE3,0.642,0.183,0.000,False
CPFE3,0.652,0.229,0.000,True
WEGE3,0.712,0.169,0.000,False
CPLE3,0.764,0.246,0.000,False
BEEF3,0.778,0.105,0.000,False
RADL3,0.795,0.188,0.000,False
EQTL3,0.841,0.333,0.000,False
VALE3,0.851,0.252,0.000,False
BRAP4,0.867,0.281,0.000,True
CMIG4,0.871,0.313,0.000,False
HYPE3,0.878,0.247,0.000,True
FLRY3,0.884,0.261,0.000,False
ENGI11,0.887,0.349,0.000,False
SBSP3,0.900,0.293,0.000,False
BBAS3,0.947,0.388,0.000,False
GGBR4,0.955,0.274,0.000,False
GOAU4,0.969,0.313,0.000,False
ITSA4,0.970,0.592,0.000,False
SANB11,0.989,0.423,0.000,False
ITUB4,0.995,0.486,0.000,False
ENEV3,1.020,0.327,0.000,False
PRIO3,1.022,0.196,0.000,False
PETR4,1.024,0.318,0.000,False
RAIL3,1.042,0.336,0.000,False
PETR3,1.054,0.310,0.000,False
BBDC3,1.064,0.471,0.000,False
GGPS3,1.079,0.306,0.000,False
ASAI3,1.104,0.226,0.000,False
BBDC4,1.110,0.426,0.000,False
TOTS3,1.125,0.308,0.000,False
IRBR3,1.129,0.130,0.000,False
MULT3,1.136,0.440,0.000,False
RECV3,1.140,0.213,0.000,False
RDOR3,1.182,0.319,0.000,False
BRKM5,1.184,0.169,0.000,False
ALOS3,1.187,0.473,0.000,False
BRAV3,1.196,0.189,0.000,False
VBBR3,1.203,0.413,0.000,False
IGTI11,1.218,0.441,0.000,False
CURY3,1.221,0.304,0.000,False
CMIN3,1.225,0.286,0.000,True
USIM5,1.269,0.272,0.000,False
RAIZ4,1.294,0.245,0.000,False
UGPA3,1.325,0.129,0.000,True
AZZA3,1.363,0.334,0.000,False
RENT3,1.371,0.414,0.000,False
NATU3,1.378,0.045,0.006,False
BPAC11,1.396,0.483,0.000,False
CSAN3,1.423,0.454,0.000,False
B3SA3,1.423,0.474,0.000,False
CSNA3,1.516,0.334,0.000,True
CYRE3,1.542,0.424,0.000,False
LREN3,1.546,0.396,0.000,False
HAPV3,1.567,0.208,0.000,False
ECOR3,1.603,0.405,0.000,False
MRVE3,1.623,0.329,0.000,False
COGN3,1.631,0.299,0.000,True
YDUQ3,1.644,0.271,0.000,False
BHIA3,1.777,0.159,0.000,False
MOVI3,1.876,0.343,0.000,False
CVCB3,2.082,0.280,0.000,False
MGLU3,2.164,0.297,0.000,False
