estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,B,mrs,vol_ratio,contracao
A,ALOS3,2023-04-20,2023-04-24,2023-05-04,7,15.33,16.09,5.00,-1.66,6.66,take_profit,7,0,5.63,1.38,0.28
A,ALOS3,2023-05-10,2023-05-11,2023-05-18,5,16.67,17.50,5.00,1.84,3.16,take_profit,7,1,10.65,0.64,0.42
A,ALOS3,2023-05-18,2023-05-19,2023-05-30,7,17.68,18.56,5.00,-1.66,6.66,take_profit,7,1,13.21,1.28,0.48
A,ALOS3,2023-05-30,2023-05-31,2023-06-06,4,18.64,19.57,5.00,5.94,-0.94,take_profit,7,0,20.73,0.91,0.30
A,ALOS3,2023-08-01,2023-08-02,2023-08-16,10,21.24,20.13,-5.25,-4.39,-0.86,time_stop,7,1,17.89,2.17,0.46
A,ALOS3,2023-10-10,2023-10-11,2023-10-26,10,20.50,20.26,-1.17,-1.85,0.68,time_stop,7,1,10.65,1.22,0.74
A,ALOS3,2023-11-07,2023-11-08,2023-11-14,4,20.61,21.64,5.00,3.54,1.46,take_profit,7,1,8.55,0.81,0.68
A,ALOS3,2023-11-14,2023-11-16,2023-11-30,10,21.72,21.96,1.15,2.16,-1.01,time_stop,9,2,8.99,2.18,0.45
A,ALOS3,2023-11-30,2023-12-01,2023-12-15,10,22.02,23.04,4.60,1.64,2.96,time_stop,7,0,5.38,1.43,0.37
A,ALOS3,2025-05-02,2025-05-05,2025-05-19,10,20.38,20.83,2.18,4.66,-2.49,time_stop,7,1,1.70,1.06,0.31
A,ALOS3,2025-07-01,2025-07-02,2025-07-16,10,21.69,20.89,-3.72,-2.58,-1.13,time_stop,7,1,5.76,0.94,0.48
A,ALOS3,2025-07-16,2025-07-17,2025-07-31,10,21.04,20.21,-3.97,-1.96,-2.01,time_stop,7,1,5.14,1.57,0.35
A,ALOS3,2025-08-06,2025-08-07,2025-08-18,7,20.86,21.90,5.00,0.61,4.39,take_profit,7,1,5.55,0.89,0.71
A,ALOS3,2025-08-18,2025-08-19,2025-09-02,10,21.81,22.67,3.95,4.73,-0.78,time_stop,8,1,9.00,0.80,0.47
A,ALOS3,2025-09-03,2025-09-04,2025-09-17,9,22.74,23.87,5.00,3.33,1.67,take_profit,7,0,10.39,0.57,0.40
A,ALOS3,2025-09-17,2025-09-18,2025-10-02,10,24.04,24.12,0.32,-1.08,1.40,time_stop,8,1,11.86,1.25,0.39
A,ALOS3,2025-10-02,2025-10-03,2025-10-17,10,24.15,23.02,-4.67,-0.58,-4.09,time_stop,7,0,12.51,0.78,0.49
A,ALOS3,2025-10-20,2025-10-21,2025-11-04,10,23.26,24.25,4.26,4.51,-0.24,time_stop,7,0,7.09,1.18,0.38
A,ALOS3,2025-11-04,2025-11-05,2025-11-11,4,24.18,25.39,5.00,2.94,2.06,take_profit,7,1,6.24,0.81,0.51
A,ALOS3,2025-11-11,2025-11-12,2025-11-13,1,25.70,26.98,5.00,-0.22,5.22,take_profit,7,1,7.10,1.33,0.54
A,ALOS3,2025-11-13,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.49,time_stop,7,2,13.43,3.82,0.59
A,ALOS3,2025-12-01,2025-12-02,2025-12-16,10,27.71,27.49,-0.81,-1.78,0.97,time_stop,8,1,12.65,1.82,0.27
A,ALOS3,2025-12-23,2025-12-26,2026-01-13,10,27.56,28.37,2.95,0.79,2.16,time_stop,7,0,9.40,1.13,0.43
A,ALOS3,2026-01-13,2026-01-14,2026-01-27,9,28.42,29.85,5.00,9.86,-4.86,take_profit,7,0,10.12,0.81,0.44
A,ALOS3,2026-02-03,2026-02-04,2026-02-20,10,31.26,31.88,1.99,4.76,-2.78,time_stop,7,1,5.01,1.76,0.41
A,ABEV3,2022-11-08,2022-11-09,2022-11-24,10,12.50,12.07,-3.43,-1.41,-2.02,time_stop,7,1,7.43,1.11,0.61
A,ABEV3,2022-11-24,2022-11-25,2022-12-09,10,12.06,11.67,-3.24,-1.11,-2.13,time_stop,8,0,6.42,0.44,0.35
A,ABEV3,2023-03-28,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,2,9.65,3.67,0.67
A,ABEV3,2023-04-19,2023-04-20,2023-05-08,10,11.57,11.49,-0.68,1.48,-2.16,time_stop,7,0,6.07,0.69,0.30
A,ABEV3,2024-10-01,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,2,5.59,2.30,0.97
A,ABEV3,2024-12-02,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,2,9.84,2.62,1.00
A,ABEV3,2024-12-10,2024-12-11,2024-12-27,10,11.90,10.62,-10.75,-7.38,-3.37,time_stop,8,0,15.14,0.60,0.33
A,ABEV3,2025-03-11,2025-03-12,2025-03-14,2,11.35,11.91,5.00,4.15,0.85,take_profit,7,0,12.90,0.87,0.34
