estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida,evolucao_score,B,mrs,vol_ratio,contracao
A,ALOS3,2022-04-01,2022-04-04,2022-04-07,3,19.95,18.76,-5.98,-1.84,-4.14,stop_loss,5,2,-3,0,-4.30,1.05,0.33
A,ALOS3,2022-09-28,2022-09-29,2022-10-03,2,16.52,17.35,5.00,8.29,-3.29,take_profit_ret,6,5,-1,1,1.43,0.64,0.45
A,ALOS3,2022-10-03,2022-10-04,2022-10-19,10,17.68,17.40,-1.56,0.00,-1.56,time_stop,5,6,1,1,0.16,1.30,0.56
A,ALOS3,2022-10-19,2022-10-20,2022-11-03,9,17.50,18.38,5.00,0.18,4.82,take_profit_ret,6,5,-1,0,0.01,0.66,0.26
A,ALOS3,2022-11-03,2022-11-04,2022-11-08,2,18.83,18.60,-1.24,-1.49,0.25,stop_loss,6,6,0,1,6.16,1.68,0.93
A,ALOS3,2023-03-30,2023-03-31,2023-04-04,2,15.14,14.76,-2.54,0.02,-2.56,stop_loss,5,2,-3,1,4.43,1.58,0.89
A,ALOS3,2023-04-11,2023-04-12,2023-04-24,7,15.33,15.20,-0.82,-2.64,1.82,take_profit_score,5,7,2,0,3.24,1.16,0.44
A,ALOS3,2023-04-24,2023-04-25,2023-05-04,6,15.16,15.92,5.00,-0.97,5.97,take_profit_ret,7,6,-1,1,4.91,1.72,0.31
A,ALOS3,2023-05-04,2023-05-05,2023-05-11,4,16.47,16.66,1.15,2.86,-1.71,take_profit_score,6,7,1,1,13.64,1.63,0.87
A,ALOS3,2023-05-11,2023-05-12,2023-05-15,1,16.56,16.86,1.76,0.40,1.36,take_profit_score,7,7,0,0,9.76,1.20,0.30
A,ALOS3,2023-05-15,2023-05-16,2023-05-17,1,16.93,17.29,2.13,1.32,0.81,take_profit_score,7,7,0,1,10.27,0.72,0.36
A,ALOS3,2023-05-17,2023-05-18,2023-05-19,1,17.44,17.79,2.02,0.38,1.63,take_profit_score,6,7,1,0,12.41,1.22,0.41
A,ALOS3,2023-05-19,2023-05-22,2023-05-25,3,17.85,18.15,1.68,0.00,1.68,take_profit_score,7,7,0,1,14.23,1.99,0.47
A,ALOS3,2023-05-25,2023-05-26,2023-05-29,1,18.31,18.50,1.08,-0.69,1.77,take_profit_score,7,7,0,0,16.83,0.80,0.30
A,ALOS3,2023-05-29,2023-05-30,2023-05-31,1,18.63,18.61,-0.14,-0.51,0.37,take_profit_score,7,7,0,0,18.68,0.44,0.27
A,ALOS3,2023-05-31,2023-06-01,2023-06-02,1,18.92,19.15,1.23,1.70,-0.47,take_profit_score,7,8,1,0,21.28,1.22,0.32
A,ALOS3,2023-06-02,2023-06-05,2023-06-19,9,19.17,20.13,5.00,6.40,-1.40,take_profit_ret,6,6,0,0,19.76,1.35,0.48
A,ALOS3,2023-06-19,2023-06-20,2023-06-21,1,20.09,21.10,5.00,0.39,4.61,take_profit_ret,5,6,1,0,17.31,0.51,0.41
A,ALOS3,2023-06-21,2023-06-22,2023-07-06,10,21.02,21.50,2.29,-1.41,3.69,time_stop,6,4,-2,1,22.69,1.07,0.46
A,ALOS3,2023-07-06,2023-07-07,2023-07-21,10,21.54,21.10,-2.07,1.05,-3.12,time_stop,5,6,1,0,25.25,0.59,0.37
A,ALOS3,2023-07-21,2023-07-24,2023-08-02,7,21.05,21.23,0.86,-0.48,1.33,take_profit_score,6,7,1,1,18.47,1.67,0.56
A,ALOS3,2023-08-02,2023-08-03,2023-08-08,3,21.51,20.83,-3.15,-1.23,-1.92,stop_loss,6,5,-1,0,17.89,0.70,0.45
A,ALOS3,2023-08-08,2023-08-09,2023-08-18,7,20.62,20.16,-2.21,-2.62,0.41,stop_loss,5,4,-1,0,16.99,0.71,1.00
A,ALOS3,2023-08-23,2023-08-24,2023-09-01,6,20.68,20.25,-2.08,0.66,-2.74,stop_loss,5,6,1,1,16.34,1.74,0.53
A,ALOS3,2023-09-08,2023-09-11,2023-09-12,1,19.41,20.38,5.00,0.65,4.35,take_profit_ret,5,5,0,0,10.45,0.65,0.41
A,ALOS3,2023-09-14,2023-09-15,2023-09-22,5,20.70,19.92,-3.77,-2.01,-1.76,stop_loss,6,4,-2,0,13.34,1.06,1.00
A,ALOS3,2023-09-27,2023-09-28,2023-10-10,8,18.76,19.70,5.00,0.85,4.15,take_profit_ret,5,5,0,1,6.52,1.53,0.68
A,ALOS3,2023-10-10,2023-10-11,2023-10-13,1,20.50,20.07,-2.14,-1.27,-0.87,take_profit_score,7,7,0,1,10.65,1.22,0.74
A,ALOS3,2023-10-13,2023-10-16,2023-10-19,3,20.16,19.80,-1.79,-2.07,0.28,stop_loss,6,5,-1,0,10.56,0.70,1.00
A,ALOS3,2023-10-24,2023-10-25,2023-11-03,6,19.36,20.33,5.00,4.94,0.06,take_profit_ret,6,4,-2,0,11.13,1.05,0.82
A,ALOS3,2023-11-03,2023-11-06,2023-11-08,2,20.55,20.87,1.55,0.62,0.93,take_profit_score,6,7,1,0,8.33,1.12,0.63
A,ALOS3,2023-11-08,2023-11-09,2023-11-10,1,20.69,21.21,2.49,1.59,0.90,take_profit_score,6,7,1,0,9.04,0.60,0.59
A,ALOS3,2023-11-10,2023-11-13,2023-11-14,1,21.22,21.72,2.35,2.39,-0.04,take_profit_score,8,7,-1,1,9.12,1.64,0.45
A,ALOS3,2023-11-14,2023-11-16,2023-11-17,1,21.72,21.74,0.12,0.12,0.00,take_profit_score,9,7,-2,2,8.99,2.18,0.45
A,ALOS3,2023-11-17,2023-11-20,2023-11-21,1,21.90,21.65,-1.14,-0.40,-0.74,take_profit_score,7,8,1,0,7.50,0.94,0.36
A,ALOS3,2023-11-21,2023-11-22,2023-11-23,1,21.72,21.61,-0.47,0.60,-1.07,take_profit_score,8,7,-1,0,6.19,1.08,0.32
A,ALOS3,2023-11-23,2023-11-24,2023-11-28,2,21.55,21.67,0.56,0.87,-0.31,take_profit_score,7,7,0,0,4.83,0.82,0.33
A,ALOS3,2023-11-28,2023-11-29,2023-11-30,1,21.64,21.96,1.51,1.06,0.44,take_profit_score,6,7,1,0,4.93,0.61,0.40
A,ALOS3,2023-11-30,2023-12-01,2023-12-04,1,22.02,21.77,-1.17,-1.03,-0.14,take_profit_score,7,7,0,0,5.38,1.43,0.37
A,ALOS3,2023-12-04,2023-12-05,2023-12-14,7,21.77,22.86,5.00,3.15,1.85,take_profit_ret,6,7,1,0,4.72,0.62,0.37
A,ALOS3,2023-12-14,2023-12-15,2024-01-03,10,23.03,22.11,-3.99,2.15,-6.14,time_stop,7,5,-2,1,6.54,1.25,0.90
A,ALOS3,2024-01-08,2024-01-09,2024-01-19,8,21.84,21.47,-1.69,-2.94,1.25,stop_loss,5,3,-2,1,-1.35,2.25,0.62
A,ALOS3,2024-03-15,2024-03-18,2024-04-02,10,21.19,20.54,-3.08,0.56,-3.64,stop_loss,5,0,-5,0,-2.02,0.91,0.49
A,ALOS3,2024-08-19,2024-08-20,2024-09-03,10,21.21,20.69,-2.48,-1.37,-1.11,time_stop,5,3,-2,0,-3.05,1.25,0.32
A,ALOS3,2024-09-13,2024-09-16,2024-09-26,8,20.73,20.24,-2.36,-1.56,-0.80,stop_loss,5,0,-5,0,-3.85,0.88,0.32
A,ALOS3,2025-04-30,2025-05-02,2025-05-05,1,20.30,20.09,-1.02,-1.15,0.12,take_profit_score,6,7,1,0,0.49,0.72,0.34
A,ALOS3,2025-05-05,2025-05-06,2025-05-20,10,20.05,20.94,4.42,4.95,-0.53,time_stop,6,6,0,0,1.66,0.66,0.29
A,ALOS3,2025-05-20,2025-05-21,2025-06-04,10,20.91,21.01,0.47,-0.58,1.05,time_stop,5,6,1,0,1.23,0.52,0.41
A,ALOS3,2025-06-04,2025-06-05,2025-06-20,10,20.93,20.25,-3.22,0.49,-3.70,time_stop,5,5,0,0,4.18,0.84,0.38
A,ALOS3,2025-06-20,2025-06-23,2025-06-26,3,20.25,21.27,5.00,0.37,4.63,take_profit_ret,6,5,-1,1,0.66,1.67,0.48
A,ALOS3,2025-06-26,2025-06-27,2025-07-02,3,21.12,21.24,0.58,1.58,-1.00,take_profit_score,6,7,1,1,6.27,1.05,0.99
A,ALOS3,2025-07-02,2025-07-03,2025-07-17,10,21.24,21.07,-0.80,-3.95,3.15,take_profit_score,5,7,2,0,4.02,1.22,0.46
A,ALOS3,2025-07-17,2025-07-18,2025-07-29,7,20.93,20.10,-3.94,-0.61,-3.33,stop_loss,6,4,-2,0,5.98,1.03,0.43
A,ALOS3,2025-07-29,2025-07-30,2025-08-07,6,20.05,21.06,5.00,1.98,3.02,take_profit_ret,5,7,2,0,3.50,0.79,0.33
A,ALOS3,2025-08-07,2025-08-08,2025-08-13,3,21.00,21.55,2.62,0.56,2.05,take_profit_score,7,7,0,1,5.28,1.06,0.76
A,ALOS3,2025-08-13,2025-08-14,2025-08-15,1,21.45,21.68,1.06,0.15,0.91,take_profit_score,6,7,1,0,7.54,1.09,0.56
A,ALOS3,2025-08-15,2025-08-18,2025-08-19,1,21.68,21.51,-0.74,-2.35,1.61,take_profit_score,7,8,1,0,8.22,0.65,0.43
A,ALOS3,2025-08-19,2025-08-20,2025-08-21,1,21.51,21.42,-0.44,-0.13,-0.31,take_profit_score,7,7,0,0,9.34,0.88,0.47
A,ALOS3,2025-08-21,2025-08-22,2025-08-25,1,21.62,21.90,1.28,-0.03,1.31,take_profit_score,7,7,0,0,8.44,1.21,0.35
A,ALOS3,2025-08-25,2025-08-26,2025-08-27,1,21.79,22.16,1.70,0.93,0.77,take_profit_score,7,7,0,0,7.99,1.36,0.39
A,ALOS3,2025-08-27,2025-08-28,2025-08-29,1,22.26,22.82,2.52,0.14,2.39,take_profit_score,7,7,0,0,8.41,0.98,0.40
A,ALOS3,2025-08-29,2025-09-01,2025-09-04,3,22.75,23.05,1.34,-0.20,1.54,take_profit_score,6,7,1,0,9.74,0.60,0.56
A,ALOS3,2025-09-04,2025-09-05,2025-09-08,1,23.29,23.12,-0.74,-0.61,-0.13,take_profit_score,8,8,0,0,11.15,0.86,0.31
A,ALOS3,2025-09-08,2025-09-09,2025-09-10,1,23.00,23.07,0.29,0.40,-0.11,take_profit_score,7,7,0,0,10.79,0.62,0.46
A,ALOS3,2025-09-10,2025-09-11,2025-09-12,1,23.19,23.24,0.21,-0.54,0.74,take_profit_score,7,8,1,0,10.23,0.64,0.37
A,ALOS3,2025-09-12,2025-09-15,2025-09-16,1,23.27,23.66,1.68,0.47,1.21,take_profit_score,8,8,0,0,10.93,0.52,0.24
A,ALOS3,2025-09-16,2025-09-17,2025-09-18,1,23.63,24.10,1.98,-0.05,2.02,take_profit_score,9,8,-1,1,11.34,0.79,0.33
A,ALOS3,2025-09-18,2025-09-19,2025-09-22,1,24.24,23.90,-1.41,-0.56,-0.85,take_profit_score,7,7,0,0,12.16,1.01,0.42
A,ALOS3,2025-09-22,2025-09-23,2025-09-24,1,24.05,24.40,1.47,0.06,1.41,take_profit_score,7,8,1,0,11.49,0.70,0.36
A,ALOS3,2025-09-24,2025-09-25,2025-09-26,1,24.38,24.39,0.08,0.11,-0.03,take_profit_score,8,7,-1,1,12.52,1.66,0.38
A,ALOS3,2025-09-26,2025-09-29,2025-09-30,1,24.72,24.70,-0.08,-0.15,0.07,take_profit_score,7,7,0,0,13.06,0.69,0.42
A,ALOS3,2025-09-30,2025-10-01,2025-10-02,1,24.83,24.12,-2.85,-1.07,-1.78,take_profit_score,6,7,1,0,13.62,1.02,0.36
A,ALOS3,2025-10-02,2025-10-03,2025-10-08,3,24.15,23.35,-3.29,-1.43,-1.86,take_profit_score,7,7,0,0,12.51,0.78,0.49
A,ALOS3,2025-10-08,2025-10-09,2025-10-14,3,23.36,22.75,-2.62,-0.01,-2.61,take_profit_score,6,7,1,0,9.97,0.74,0.76
A,ALOS3,2025-10-14,2025-10-15,2025-10-16,1,22.52,22.89,1.66,-0.24,1.89,take_profit_score,5,8,3,0,7.18,0.81,0.35
A,ALOS3,2025-10-16,2025-10-17,2025-10-21,2,22.66,23.24,2.53,0.55,1.98,take_profit_score,6,7,1,0,7.38,0.82,0.33
A,ALOS3,2025-10-21,2025-10-22,2025-10-23,1,23.31,23.43,0.54,0.56,-0.03,take_profit_score,7,8,1,0,7.22,0.90,0.38
A,ALOS3,2025-10-23,2025-10-24,2025-10-27,1,23.55,23.72,0.73,0.70,0.03,take_profit_score,7,8,1,0,6.81,0.76,0.44
A,ALOS3,2025-10-27,2025-10-28,2025-10-29,1,23.72,23.56,-0.69,0.68,-1.37,take_profit_score,8,7,-1,0,6.96,1.05,0.33
A,ALOS3,2025-10-29,2025-10-30,2025-10-31,1,23.48,23.96,2.04,0.49,1.56,take_profit_score,7,7,0,0,5.11,0.86,0.37
A,ALOS3,2025-10-31,2025-11-03,2025-11-04,1,24.19,24.25,0.24,0.11,0.13,take_profit_score,8,8,0,1,5.94,1.94,0.41
A,ALOS3,2025-11-04,2025-11-05,2025-11-06,1,24.18,25.12,3.89,-0.19,4.08,take_profit_score,7,7,0,1,6.24,0.81,0.51
A,ALOS3,2025-11-06,2025-11-07,2025-11-10,1,25.09,25.37,1.11,0.96,0.15,take_profit_score,7,7,0,1,8.00,0.85,0.52
