variacao,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score,mrs,rsv
BASE,ALOS3,2023-06-01,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,22.90,303.13
BASE,ALOS3,2023-12-13,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.39,time_stop,7,4.96,76.54
BASE,ALOS3,2025-11-13,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.49,time_stop,7,13.43,317.61
BASE,ALOS3,2026-01-22,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,3.43,22.07
BASE,ABEV3,2022-07-28,2022-07-29,2022-08-12,10,11.39,11.45,0.53,9.41,-8.88,time_stop,7,7.03,223.10
BASE,ABEV3,2023-03-28,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,9.65,221.29
BASE,ABEV3,2023-12-13,2023-12-14,2024-01-02,10,11.76,11.43,-2.85,1.48,-4.33,time_stop,5,-8.90,100.69
BASE,ABEV3,2024-10-01,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,5.59,55.43
BASE,ABEV3,2024-12-02,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,9.84,126.87
BASE,ABEV3,2025-02-26,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,2.11,235.48
BASE,ANIM3,2022-10-04,2022-10-05,2022-10-20,10,5.42,4.89,-9.87,-0.37,-9.50,time_stop,5,-2.74,104.28
BASE,ANIM3,2022-10-31,2022-11-01,2022-11-04,2,5.95,6.24,5.00,1.05,3.95,take_profit,7,10.11,172.35
BASE,ANIM3,2024-03-01,2024-03-04,2024-03-18,10,4.55,4.26,-6.26,-1.16,-5.10,time_stop,7,28.43,109.90
BASE,ANIM3,2025-05-09,2025-05-12,2025-05-19,5,4.15,4.36,5.00,2.27,2.73,take_profit,6,60.58,87.78
BASE,ANIM3,2026-01-07,2026-01-08,2026-01-21,9,4.03,4.23,5.00,5.86,-0.86,take_profit,6,0.60,419.61
BASE,ANIM3,2026-01-22,2026-01-23,2026-01-27,2,4.95,5.20,5.00,1.44,3.56,take_profit,6,12.19,66.31
BASE,ASAI3,2022-07-27,2022-07-28,2022-08-10,9,15.92,16.71,5.00,7.53,-2.53,take_profit,7,19.73,304.74
BASE,ASAI3,2025-05-27,2025-05-28,2025-06-11,10,11.20,11.07,-1.15,-1.28,0.14,time_stop,6,38.88,63.33
BASE,AURE3,2025-07-23,2025-07-24,2025-08-07,10,9.68,9.92,2.48,2.10,0.38,time_stop,6,3.51,126.31
BASE,AURE3,2026-01-22,2026-01-23,2026-02-06,10,11.92,11.40,-4.36,2.01,-6.38,time_stop,6,-6.01,-28.38
BASE,AXIA3,2022-04-07,2022-04-08,2022-04-13,3,35.03,36.78,5.00,-1.28,6.28,take_profit,7,5.76,286.12
BASE,AXIA3,2022-10-21,2022-10-24,2022-11-04,8,42.33,44.45,5.00,1.66,3.34,take_profit,8,8.28,194.98
BASE,AXIA3,2023-11-07,2023-11-08,2023-11-16,5,33.45,35.12,5.00,4.71,0.29,take_profit,5,-1.48,96.94
BASE,AXIA3,2024-07-31,2024-08-01,2024-08-15,10,35.45,36.04,1.66,5.45,-3.80,time_stop,5,-0.24,167.92
BASE,AXIA3,2025-08-07,2025-08-08,2025-08-11,1,39.86,41.85,5.00,-0.31,5.31,take_profit,8,7.43,116.75
BASE,AXIA3,2025-10-17,2025-10-20,2025-11-03,10,52.95,54.51,2.95,4.32,-1.37,time_stop,7,27.37,40.62
BASE,AXIA3,2026-01-21,2026-01-22,2026-02-03,8,53.60,56.28,5.00,5.47,-0.47,take_profit,6,-3.71,220.95
BASE,AXIA6,2022-04-07,2022-04-08,2022-04-13,3,24.63,25.86,5.00,-1.28,6.28,take_profit,6,3.87,266.70
BASE,AXIA6,2022-04-13,2022-04-14,2022-05-02,10,26.40,25.05,-5.10,-8.00,2.89,time_stop,8,13.25,405.93
BASE,AXIA6,2022-08-04,2022-08-05,2022-08-19,10,32.54,32.23,-0.95,4.66,-5.61,time_stop,8,38.01,58.98
