combo,time_stop,score_limiar,ticker,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida
T5_SX,5,X,ALOS3,2023-06-02,2023-06-12,5,19.49,19.83,1.72,4.24,-2.52,time_stop,8,5
T5_SX,5,X,ALOS3,2023-12-14,2023-12-21,5,22.54,22.84,1.33,1.16,0.17,time_stop,7,5
T5_SX,5,X,ALOS3,2025-11-14,2025-11-24,5,27.22,26.94,-1.00,-1.29,0.29,time_stop,7,7
T5_SX,5,X,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T5_SX,5,X,ABEV3,2022-07-29,2022-08-05,5,11.39,10.99,-3.50,3.46,-6.96,time_stop,7,2
T5_SX,5,X,ABEV3,2023-03-29,2023-04-05,5,11.61,11.41,-1.77,-0.93,-0.84,time_stop,7,5
T5_SX,5,X,ABEV3,2024-10-02,2024-10-09,5,11.42,10.90,-4.53,-2.70,-1.83,time_stop,7,4
T5_SX,5,X,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T5_SX,5,X,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T5_SX,5,X,ANIM3,2022-11-01,2022-11-04,2,5.95,6.24,5.00,1.05,3.95,take_profit,7,6
T5_SX,5,X,ANIM3,2024-03-04,2024-03-11,5,4.55,4.34,-4.55,-1.75,-2.80,time_stop,7,5
T5_SX,5,X,ANIM3,2025-05-12,2025-05-19,5,4.15,4.36,5.00,2.27,2.73,take_profit,6,6
T5_SX,5,X,ANIM3,2026-01-08,2026-01-15,5,4.03,4.04,0.25,1.85,-1.60,time_stop,6,5
T5_SX,5,X,ANIM3,2026-01-23,2026-01-27,2,4.95,5.20,5.00,1.44,3.56,take_profit,6,5
T5_SX,5,X,ASAI3,2022-07-28,2022-08-04,5,15.92,16.21,1.88,3.41,-1.53,time_stop,7,5
T5_SX,5,X,ASAI3,2025-05-28,2025-06-04,5,11.20,11.35,1.32,-1.40,2.72,time_stop,6,7
T5_SX,5,X,AURE3,2025-07-24,2025-07-31,5,9.68,9.27,-4.24,-0.69,-3.55,time_stop,6,3
T5_SX,5,X,AXIA3,2022-04-08,2022-04-13,3,35.03,36.78,5.00,-1.28,6.28,take_profit,7,5
T5_SX,5,X,AXIA3,2022-10-24,2022-10-31,5,42.33,43.57,2.93,0.01,2.92,time_stop,8,6
T5_SX,5,X,AXIA3,2025-08-08,2025-08-11,1,39.86,41.85,5.00,-0.31,5.31,take_profit,8,8
T5_SX,5,X,AXIA3,2025-10-20,2025-10-27,5,52.95,52.71,-0.46,1.93,-2.39,time_stop,7,6
T5_SX,5,X,AXIA6,2022-04-08,2022-04-13,3,24.63,25.86,5.00,-1.28,6.28,take_profit,6,5
T5_SX,5,X,AXIA6,2022-04-14,2022-04-25,5,26.40,26.14,-0.98,-4.38,3.40,time_stop,8,5
T5_SX,5,X,AXIA6,2022-08-05,2022-08-12,5,32.54,31.59,-2.91,5.74,-8.65,time_stop,8,6
T5_SX,5,X,AXIA6,2022-11-01,2022-11-09,5,34.48,33.72,-2.22,-2.71,0.49,time_stop,7,7
T5_SX,5,X,AXIA6,2024-02-21,2024-02-28,5,32.71,32.36,-1.09,0.06,-1.15,time_stop,8,6
T5_SX,5,X,AXIA6,2024-08-01,2024-08-08,5,30.78,29.87,-2.94,1.26,-4.20,time_stop,6,6
T5_SX,5,X,AXIA6,2025-08-08,2025-08-11,1,33.92,35.61,5.00,-0.31,5.31,take_profit,7,8
T5_SX,5,X,AXIA6,2025-09-18,2025-09-25,5,39.65,40.75,2.76,-0.18,2.94,time_stop,8,7
T5_SX,5,X,AXIA6,2025-11-03,2025-11-10,5,45.62,47.90,5.00,3.31,1.69,take_profit,8,7
T5_SX,5,X,AXIA6,2025-11-17,2025-11-25,5,49.67,51.50,3.68,-0.53,4.21,time_stop,8,7
T5_SX,5,X,AXIA6,2026-02-20,2026-02-27,5,65.98,66.86,1.33,-0.82,2.15,time_stop,8,8
T5_SX,5,X,AZZA3,2022-08-05,2022-08-12,5,74.04,76.30,3.04,5.74,-2.70,time_stop,8,7
T5_SX,5,X,B3SA3,2025-03-14,2025-03-17,1,11.22,11.78,5.00,1.60,3.40,take_profit,7,7
T5_SX,5,X,B3SA3,2025-05-09,2025-05-16,5,13.75,14.20,3.29,2.15,1.14,time_stop,6,6
T5_SX,5,X,BBSE3,2022-03-21,2022-03-28,5,15.62,16.40,5.00,2.30,2.70,take_profit,7,7
T5_SX,5,X,BBSE3,2022-06-01,2022-06-08,5,18.00,16.95,-5.84,-2.67,-3.17,time_stop,8,4
T5_SX,5,X,BBSE3,2022-07-15,2022-07-22,5,17.75,18.64,5.00,2.31,2.69,take_profit,8,7
T5_SX,5,X,BBSE3,2022-09-19,2022-09-26,5,20.36,20.08,-1.40,-2.86,1.46,time_stop,8,7
T5_SX,5,X,BBSE3,2024-12-04,2024-12-11,5,29.02,30.47,5.00,3.14,1.86,take_profit,8,7
T5_SX,5,X,BBSE3,2025-01-16,2025-01-23,5,30.91,31.50,1.93,0.98,0.95,time_stop,8,8
T5_SX,5,X,BBDC3,2024-08-06,2024-08-12,4,10.78,11.31,5.00,4.00,1.00,take_profit,6,4
T5_SX,5,X,BBDC3,2025-05-09,2025-05-16,5,12.44,12.58,1.20,2.15,-0.95,time_stop,7,7
T5_SX,5,X,BBDC3,2025-05-29,2025-06-05,5,13.05,12.87,-1.38,-1.56,0.18,time_stop,8,6
T5_SX,5,X,BBDC3,2026-01-22,2026-01-26,2,17.06,17.91,5.00,1.48,3.52,take_profit,7,5
T5_SX,5,X,BBDC4,2022-08-08,2022-08-12,4,13.88,14.57,5.00,3.66,1.34,take_profit,6,5
T5_SX,5,X,BBDC4,2022-10-04,2022-10-11,5,16.15,15.06,-6.73,-1.30,-5.43,time_stop,8,5
T5_SX,5,X,BBDC4,2024-02-07,2024-02-16,5,12.87,11.30,-12.18,-1.02,-11.16,time_stop,7,7
T5_SX,5,X,BBDC4,2024-08-07,2024-08-13,4,12.36,12.97,5.00,3.82,1.18,take_profit,6,6
T5_SX,5,X,BBDC4,2025-05-09,2025-05-16,5,14.06,14.41,2.53,2.15,0.38,time_stop,7,7
T5_SX,5,X,BBDC4,2026-01-22,2026-01-23,1,19.76,20.75,5.00,1.71,3.29,take_profit,7,5
T5_SX,5,X,BRAP4,2022-11-14,2022-11-22,5,17.52,17.63,0.68,-3.82,4.50,time_stop,6,7
T5_SX,5,X,BRAP4,2025-11-03,2025-11-10,5,16.59,16.81,1.34,3.31,-1.97,time_stop,7,6
T5_SX,5,X,BRAP4,2025-12-16,2025-12-23,5,19.89,20.30,2.07,1.46,0.61,time_stop,7,8
T5_SX,5,X,BBAS3,2022-02-14,2022-02-15,1,11.92,12.52,5.00,0.99,4.01,take_profit,7,5
T5_SX,5,X,BBAS3,2022-02-16,2022-02-23,5,12.56,12.78,1.73,-2.88,4.61,time_stop,7,8
T5_SX,5,X,BBAS3,2022-08-12,2022-08-19,5,15.85,15.48,-2.33,-1.02,-1.31,time_stop,7,7
T5_SX,5,X,BBAS3,2022-10-04,2022-10-11,5,16.26,15.14,-6.93,-1.30,-5.63,time_stop,8,6
T5_SX,5,X,BBAS3,2023-01-18,2023-01-20,2,15.23,15.99,5.00,0.11,4.89,take_profit,7,6
T5_SX,5,X,BBAS3,2023-01-23,2023-01-30,5,16.04,16.33,1.85,0.74,1.11,time_stop,7,7
T5_SX,5,X,BBAS3,2023-02-15,2023-02-24,5,16.72,16.53,-1.17,-3.46,2.29,time_stop,7,7
T5_SX,5,X,BBAS3,2023-04-13,2023-04-20,5,17.57,17.93,2.04,-1.88,3.92,time_stop,8,8
T5_SX,5,X,BBAS3,2023-06-13,2023-06-20,5,20.76,21.28,2.48,2.55,-0.07,time_stop,7,8
T5_SX,5,X,BBAS3,2023-10-09,2023-10-17,5,21.00,21.35,1.69,0.54,1.15,time_stop,8,8
T5_SX,5,X,BRKM5,2023-06-13,2023-06-15,2,27.50,28.88,5.00,2.18,2.82,take_profit,6,5
T5_SX,5,X,BRKM5,2023-06-16,2023-06-23,5,29.99,29.12,-2.90,0.36,-3.26,time_stop,7,6
T5_SX,5,X,BRKM5,2024-03-21,2024-03-28,5,26.36,26.40,0.15,-0.03,0.18,time_stop,7,6
T5_SX,5,X,BRKM5,2026-03-06,2026-03-13,5,12.99,11.35,-12.63,-0.76,-11.87,time_stop,6,5
T5_SX,5,X,BRAV3,2022-05-03,2022-05-10,5,43.99,40.46,-8.02,-3.39,-4.63,time_stop,7,4
T5_SX,5,X,BRAV3,2022-10-05,2022-10-13,5,42.00,42.70,1.67,-2.70,4.37,time_stop,6,7
T5_SX,5,X,BRAV3,2023-01-12,2023-01-19,5,44.88,47.12,5.00,0.79,4.21,take_profit,7,7
T5_SX,5,X,BPAC11,2022-08-11,2022-08-18,5,23.70,23.83,0.54,3.83,-3.29,time_stop,7,7
T5_SX,5,X,BPAC11,2023-04-13,2023-04-20,5,21.41,21.02,-1.81,-1.88,0.07,time_stop,6,3
T5_SX,5,X,BPAC11,2024-11-13,2024-11-22,5,32.29,31.88,-1.25,1.36,-2.61,time_stop,6,1
T5_SX,5,X,BPAC11,2025-05-09,2025-05-16,5,38.83,38.87,0.10,2.15,-2.05,time_stop,8,7
T5_SX,5,X,BPAC11,2025-08-13,2025-08-20,5,44.45,42.50,-4.40,-1.39,-3.01,time_stop,7,8
T5_SX,5,X,BPAC11,2025-11-12,2025-11-19,5,51.81,51.48,-0.63,-1.58,0.95,time_stop,7,7
T5_SX,5,X,BPAC11,2026-01-22,2026-01-27,3,57.99,60.89,5.00,3.18,1.82,take_profit,7,6
T5_SX,5,X,CXSE3,2022-08-17,2022-08-24,5,6.71,6.76,0.76,-0.74,1.50,time_stop,7,7
T5_SX,5,X,CXSE3,2023-04-10,2023-04-12,2,6.88,7.22,5.00,4.75,0.25,take_profit,8,8
T5_SX,5,X,CXSE3,2023-04-13,2023-04-20,5,7.45,7.38,-1.02,-1.88,0.86,time_stop,8,8
T5_SX,5,X,CXSE3,2023-07-28,2023-08-04,5,8.43,8.59,1.90,-0.74,2.64,time_stop,8,7
T5_SX,5,X,CXSE3,2024-01-23,2024-01-24,1,11.69,12.28,5.00,-0.47,5.47,take_profit,8,6
T5_SX,5,X,CXSE3,2024-09-02,2024-09-09,5,14.41,13.92,-3.37,-0.05,-3.32,time_stop,8,7
T5_SX,5,X,CXSE3,2024-12-11,2024-12-18,5,14.19,13.91,-1.96,-6.72,4.76,time_stop,7,7
T5_SX,5,X,CXSE3,2025-03-07,2025-03-14,5,14.60,14.55,-0.31,3.12,-3.43,time_stop,8,6
T5_SX,5,X,BHIA3,2025-03-11,2025-03-12,1,4.77,5.01,5.00,0.16,4.84,take_profit,6,7
T5_SX,5,X,BHIA3,2025-03-20,2025-03-21,1,7.16,7.52,5.00,0.10,4.90,take_profit,6,5
T5_SX,5,X,BHIA3,2025-09-02,2025-09-09,5,5.16,4.22,-18.22,0.90,-19.12,time_stop,6,4
T5_SX,5,X,CBAV3,2023-01-19,2023-01-26,5,11.90,12.08,1.49,1.20,0.29,time_stop,7,4
T5_SX,5,X,CBAV3,2024-04-10,2024-04-17,5,5.04,4.85,-3.77,-2.91,-0.86,time_stop,7,6
T5_SX,5,X,CBAV3,2024-09-25,2024-10-02,5,5.33,5.60,5.00,1.51,3.49,take_profit,6,5
