combo,time_stop,score_limiar,ticker,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida
T5_SX,5,X,ALOS3,2023-06-02,2023-06-12,5,19.49,19.83,1.72,4.24,-2.52,time_stop,8,5
T5_SX,5,X,ALOS3,2023-12-14,2023-12-21,5,22.54,22.84,1.33,1.16,0.17,time_stop,7,5
T5_SX,5,X,ALOS3,2025-11-14,2025-11-24,5,27.22,26.94,-1.00,-1.29,0.29,time_stop,7,7
T5_SX,5,X,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T5_S4,5,4,ALOS3,2023-06-02,2023-06-12,5,19.49,19.83,1.72,4.24,-2.52,time_stop,8,5
T5_S4,5,4,ALOS3,2023-12-14,2023-12-21,5,22.54,22.84,1.33,1.16,0.17,time_stop,7,5
T5_S4,5,4,ALOS3,2025-11-14,2025-11-24,5,27.22,26.94,-1.00,-1.29,0.29,time_stop,7,7
T5_S4,5,4,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T5_S3,5,3,ALOS3,2023-06-02,2023-06-12,5,19.49,19.83,1.72,4.24,-2.52,time_stop,8,5
T5_S3,5,3,ALOS3,2023-12-14,2023-12-21,5,22.54,22.84,1.33,1.16,0.17,time_stop,7,5
T5_S3,5,3,ALOS3,2025-11-14,2025-11-24,5,27.22,26.94,-1.00,-1.29,0.29,time_stop,7,7
T5_S3,5,3,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T7_SX,7,X,ALOS3,2023-06-02,2023-06-14,7,19.49,19.90,2.11,5.59,-3.48,time_stop,8,5
T7_SX,7,X,ALOS3,2023-12-14,2023-12-26,7,22.54,22.87,1.45,2.18,-0.73,time_stop,7,5
T7_SX,7,X,ALOS3,2025-11-14,2025-11-26,7,27.22,27.14,-0.29,0.91,-1.20,time_stop,7,7
T7_SX,7,X,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T7_S4,7,4,ALOS3,2023-06-02,2023-06-14,7,19.49,19.90,2.11,5.59,-3.48,time_stop,8,5
T7_S4,7,4,ALOS3,2023-12-14,2023-12-26,7,22.54,22.87,1.45,2.18,-0.73,time_stop,7,5
T7_S4,7,4,ALOS3,2025-11-14,2025-11-26,7,27.22,27.14,-0.29,0.91,-1.20,time_stop,7,7
T7_S4,7,4,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T7_S3,7,3,ALOS3,2023-06-02,2023-06-14,7,19.49,19.90,2.11,5.59,-3.48,time_stop,8,5
T7_S3,7,3,ALOS3,2023-12-14,2023-12-26,7,22.54,22.87,1.45,2.18,-0.73,time_stop,7,5
T7_S3,7,3,ALOS3,2025-11-14,2025-11-26,7,27.22,27.14,-0.29,0.91,-1.20,time_stop,7,7
T7_S3,7,3,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T10_SX,10,X,ALOS3,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,6
T10_SX,10,X,ALOS3,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.38,time_stop,7,6
T10_SX,10,X,ALOS3,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.50,time_stop,7,6
T10_SX,10,X,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T10_S4,10,4,ALOS3,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,6
T10_S4,10,4,ALOS3,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.38,time_stop,7,6
T10_S4,10,4,ALOS3,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.50,time_stop,7,6
T10_S4,10,4,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T10_S3,10,3,ALOS3,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,6
T10_S3,10,3,ALOS3,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.38,time_stop,7,6
T10_S3,10,3,ALOS3,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.50,time_stop,7,6
T10_S3,10,3,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T15_SX,15,X,ALOS3,2023-06-02,2023-06-20,11,19.49,20.47,5.00,6.24,-1.24,take_profit,8,5
T15_SX,15,X,ALOS3,2023-12-14,2024-01-09,15,22.54,22.07,-2.10,0.56,-2.66,time_stop,7,5
T15_SX,15,X,ALOS3,2025-11-14,2025-12-04,13,27.22,28.58,5.00,4.50,0.50,take_profit,7,7
T15_SX,15,X,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T15_S4,15,4,ALOS3,2023-06-02,2023-06-20,11,19.49,20.47,5.00,6.24,-1.24,take_profit,8,5
T15_S4,15,4,ALOS3,2023-12-14,2024-01-09,15,22.54,22.07,-2.10,0.56,-2.66,time_stop,7,5
T15_S4,15,4,ALOS3,2025-11-14,2025-12-04,13,27.22,28.58,5.00,4.50,0.50,take_profit,7,7
T15_S4,15,4,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T15_S3,15,3,ALOS3,2023-06-02,2023-06-20,11,19.49,20.47,5.00,6.24,-1.24,take_profit,8,5
T15_S3,15,3,ALOS3,2023-12-14,2024-01-09,15,22.54,22.07,-2.10,0.56,-2.66,time_stop,7,5
T15_S3,15,3,ALOS3,2025-11-14,2025-12-04,13,27.22,28.58,5.00,4.50,0.50,take_profit,7,7
T15_S3,15,3,ALOS3,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit,6,5
T5_SX,5,X,ABEV3,2022-07-29,2022-08-05,5,11.39,10.99,-3.50,3.46,-6.96,time_stop,7,2
T5_SX,5,X,ABEV3,2023-03-29,2023-04-05,5,11.61,11.41,-1.77,-0.93,-0.84,time_stop,7,5
T5_SX,5,X,ABEV3,2024-10-02,2024-10-09,5,11.42,10.90,-4.53,-2.70,-1.83,time_stop,7,4
T5_SX,5,X,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T5_SX,5,X,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T5_S4,5,4,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_4,7,1
T5_S4,5,4,ABEV3,2023-03-29,2023-04-05,5,11.61,11.41,-1.77,-0.93,-0.84,time_stop,7,5
T5_S4,5,4,ABEV3,2024-10-02,2024-10-09,5,11.42,10.90,-4.53,-2.70,-1.83,time_stop,7,4
T5_S4,5,4,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T5_S4,5,4,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T5_S3,5,3,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_3,7,1
T5_S3,5,3,ABEV3,2023-03-29,2023-04-05,5,11.61,11.41,-1.77,-0.93,-0.84,time_stop,7,5
T5_S3,5,3,ABEV3,2024-10-02,2024-10-09,5,11.42,10.90,-4.53,-2.70,-1.83,time_stop,7,4
T5_S3,5,3,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T5_S3,5,3,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T7_SX,7,X,ABEV3,2022-07-29,2022-08-09,7,11.39,11.09,-2.58,5.79,-8.37,time_stop,7,5
T7_SX,7,X,ABEV3,2023-03-29,2023-04-10,7,11.61,11.46,-1.36,0.11,-1.47,time_stop,7,5
T7_SX,7,X,ABEV3,2024-10-02,2024-10-11,7,11.42,10.74,-5.99,-2.60,-3.39,time_stop,7,5
T7_SX,7,X,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T7_SX,7,X,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T7_S4,7,4,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_4,7,1
T7_S4,7,4,ABEV3,2023-03-29,2023-04-10,7,11.61,11.46,-1.36,0.11,-1.47,time_stop,7,5
T7_S4,7,4,ABEV3,2024-10-02,2024-10-11,7,11.42,10.74,-5.99,-2.60,-3.39,time_stop,7,5
T7_S4,7,4,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T7_S4,7,4,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T7_S3,7,3,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_3,7,1
T7_S3,7,3,ABEV3,2023-03-29,2023-04-10,7,11.61,11.46,-1.36,0.11,-1.47,time_stop,7,5
T7_S3,7,3,ABEV3,2024-10-02,2024-10-11,7,11.42,10.74,-5.99,-2.60,-3.39,time_stop,7,5
T7_S3,7,3,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T7_S3,7,3,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T10_SX,10,X,ABEV3,2022-07-29,2022-08-12,10,11.39,11.45,0.53,9.41,-8.88,time_stop,7,5
T10_SX,10,X,ABEV3,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,4
T10_SX,10,X,ABEV3,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,5
T10_SX,10,X,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T10_SX,10,X,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T10_S4,10,4,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_4,7,1
T10_S4,10,4,ABEV3,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,4
T10_S4,10,4,ABEV3,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,5
T10_S4,10,4,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
T10_S4,10,4,ABEV3,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit,6,6
T10_S3,10,3,ABEV3,2022-07-29,2022-08-02,2,11.39,11.07,-2.78,0.23,-3.01,score_exit_3,7,1
T10_S3,10,3,ABEV3,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,4
T10_S3,10,3,ABEV3,2024-10-02,2024-10-16,10,11.42,10.79,-5.55,-1.37,-4.18,time_stop,7,5
T10_S3,10,3,ABEV3,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit,7,7
