ticker,data,mrs,rsv,atr,atr_ma,atr_ratio,close,dias_rsv,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,range_candle,range_ratio,close_pos,ma20,dist_ma20
ABEV3,2024-02-29,-12.384,130.400,0.212,0.168,1.264,10.490,3,A,0.556,-0.463,1.020,1.749,-1.142,2.891,-0.715,-0.735,0.019,,,,,
ABEV3,2024-03-01,-13.233,224.841,0.220,0.171,1.287,10.370,4,A,3.215,-1.581,4.796,1.527,-1.892,3.420,-0.884,-1.557,0.673,,,,,
ABEV3,2024-03-06,-11.074,172.809,0.234,0.180,1.303,10.580,2,A,0.473,-0.623,1.096,-1.182,0.240,-1.422,-1.734,-1.175,-0.559,,,,,
ABEV3,2024-03-11,-7.909,1.573,0.236,0.189,1.249,10.670,2,A,-1.328,0.597,-1.925,-4.453,0.711,-5.164,-3.438,3.180,-6.618,,,,,
ABEV3,2024-03-12,-8.626,71.348,0.235,0.193,1.220,10.700,3,A,-2.336,-0.065,-2.272,-3.349,-0.460,-2.889,-5.763,0.275,-6.038,,,,,
ANIM3,2023-03-30,-43.826,326.016,0.243,0.200,1.211,2.170,5,A,-13.546,-2.867,-10.679,1.195,2.558,-1.363,-16.733,-1.971,-14.762,,,,,
ANIM3,2023-04-03,-45.717,165.899,0.248,0.206,1.204,2.040,7,A,2.542,4.690,-2.147,1.271,4.476,-3.205,-12.712,0.661,-13.373,,,,,
ANIM3,2023-06-26,-11.287,12.591,0.194,0.161,1.208,3.380,7,A,6.122,1.328,4.794,7.143,-0.280,7.423,16.071,2.753,13.318,,,,,
ANIM3,2023-06-29,-6.436,80.520,0.205,0.169,1.212,3.560,2,A,-2.421,-1.105,-1.316,-2.906,0.583,-3.489,12.107,0.983,11.123,,,,,
ANIM3,2023-07-06,-6.835,189.718,0.228,0.183,1.243,3.480,4,A,-0.496,1.707,-2.203,4.218,0.616,3.602,19.107,2.702,16.405,,,,,
ANIM3,2023-07-07,-4.070,139.606,0.233,0.187,1.243,3.630,5,A,-6.190,-1.068,-5.123,4.286,1.050,3.235,13.095,0.408,12.687,,,,,
ANIM3,2025-04-08,-8.703,27.716,0.181,0.147,1.232,2.140,2,A,22.018,4.263,17.755,45.872,8.543,37.329,92.227,10.079,82.148,,,,,
ANIM3,2025-04-10,-2.470,21.763,0.195,0.154,1.265,2.330,4,A,30.802,2.528,28.274,32.183,6.677,25.506,71.237,9.886,61.352,,,,,
AURE3,2023-11-23,-7.036,228.119,0.297,0.233,1.278,12.560,2,A,1.241,3.971,-2.731,4.411,-2.464,6.874,2.128,-3.411,5.539,,,,,
AURE3,2023-11-24,-6.188,149.771,0.297,0.238,1.246,12.540,3,A,2.553,3.636,-1.083,3.037,-1.318,4.355,2.269,-4.409,6.678,,,,,
AURE3,2023-11-27,-6.360,140.953,0.293,0.243,1.204,12.540,4,A,2.830,-1.575,4.405,2.039,-3.327,5.367,2.193,-5.053,7.246,,,,,
AURE3,2024-05-03,-8.688,112.306,0.231,0.186,1.245,11.600,2,A,1.284,4.913,-3.629,0.599,2.000,-1.400,3.767,3.451,0.316,,,,,
AURE3,2024-05-06,-8.771,155.616,0.237,0.189,1.252,11.570,3,A,2.060,5.429,-3.369,1.888,3.452,-1.563,4.120,4.978,-0.858,,,,,
