entry_date,exit_date,dias,entry_price,exit_price,stop_inicial,shares,pnl,pnl_pct,saida,equity_pos
2019-11-28,2019-12-13,15,36.42,36.14,34.54,530.81,-149.39,-0.77,trailing,99850.61
2020-06-03,2020-06-24,21,24.19,23.59,21.71,402.37,-243.13,-2.50,trailing,99607.48
2020-07-21,2020-07-23,2,25.87,23.93,23.76,472.47,-915.12,-7.49,trailing,98692.36
2020-10-21,2020-10-26,5,22.03,20.40,20.46,625.89,-1025.78,-7.44,stop,97666.58
2020-12-03,2020-12-22,19,23.69,23.21,21.67,482.99,-231.87,-2.03,trailing,97434.71
2021-03-30,2021-04-08,9,23.09,22.03,21.01,469.35,-493.39,-4.55,trailing,96941.32
2021-05-25,2021-06-23,29,24.58,25.70,23.00,614.01,686.80,4.55,trailing,97628.12
2022-03-29,2022-04-08,10,19.78,18.26,18.36,687.57,-1050.32,-7.72,stop,96577.80
2022-08-03,2022-08-26,23,14.47,15.03,13.66,1191.53,656.45,3.81,trailing,97234.25
2022-09-28,2022-10-26,28,16.60,16.87,15.75,1138.65,304.15,1.61,trailing,97538.40
2023-05-10,2023-07-14,65,16.65,21.01,15.68,1010.73,4408.73,26.20,trailing,101947.14
2023-11-14,2023-12-06,22,21.72,21.46,20.26,700.47,-180.44,-1.19,trailing,101766.70
2024-08-14,2024-08-29,15,21.46,20.94,20.52,948.54,-490.54,-2.41,trailing,101276.16
2025-02-17,2025-02-24,7,18.45,17.24,17.60,1098.14,-1318.70,-6.51,stop,99957.46
2025-04-03,2025-04-07,4,19.01,17.98,18.12,1051.37,-1085.96,-5.43,stop,98871.51
2025-04-23,2025-06-06,44,19.35,20.71,18.31,953.37,1298.42,7.04,trailing,100169.92
2025-07-01,2025-07-09,8,21.69,20.82,20.87,923.46,-805.56,-4.02,stop,99364.36
2025-08-18,2025-10-06,49,21.96,23.66,21.03,904.96,1536.97,7.73,trailing,100901.33
2025-11-04,2025-12-05,31,24.25,26.44,23.44,832.24,1822.77,9.03,trailing,102724.10
2019-01-10,2019-02-20,41,11.53,12.42,10.90,1577.87,1403.67,7.72,trailing,101403.67
2019-06-18,2019-07-01,13,12.35,12.19,11.90,1641.93,-269.66,-1.33,trailing,101134.01
2019-09-12,2019-10-02,20,13.26,12.91,12.66,1525.97,-532.56,-2.63,trailing,100601.44
2019-12-04,2020-01-15,42,12.52,13.17,12.05,1606.69,1047.48,5.21,trailing,101648.93
2020-10-26,2020-10-28,2,9.97,9.39,9.43,1865.23,-1087.23,-5.85,stop,100561.70
2020-11-16,2020-11-30,14,10.79,9.82,9.99,1269.44,-1230.28,-8.98,stop,99331.42
2020-12-17,2021-01-21,35,11.28,11.31,10.65,1576.83,43.30,0.24,trailing,99374.73
