ticker,data_sinal,mrs_atual,mrs_ontem,rsv_atual,preco_entrada,ret_5d,ret_bova_5d,ret_rel_5d,mrs_manteve_5d,ret_10d,ret_bova_10d,ret_rel_10d,mrs_manteve_10d,ret_20d,ret_bova_20d,ret_rel_20d,mrs_manteve_20d
ABEV3,2022-06-29,0.388,-1.359,74.443,10.240,4.555,-0.604,5.160,0,7.054,-1.552,8.606,0,10.066,1.906,8.160,0
ABEV3,2022-08-18,2.127,-0.855,90.389,12.040,-1.125,-0.309,-0.816,0,-3.562,-3.047,-0.515,0,-4.562,-3.948,-0.615,0
ABEV3,2022-08-24,1.910,-0.431,9.699,11.890,-3.354,-3.068,-0.286,1,-1.899,-2.748,0.849,1,-0.823,0.870,-1.693,1
ABEV3,2022-10-26,0.020,-2.793,16.800,11.360,6.093,3.971,2.121,1,5.894,-2.464,8.358,1,4.437,-3.411,7.848,1
ABEV3,2024-09-10,0.779,-0.539,39.504,11.040,-2.115,0.536,-2.651,0,-3.625,-1.493,-2.133,0,-1.208,-2.067,0.858,0
ABEV3,2025-02-26,2.113,-3.985,235.477,10.290,11.966,0.107,11.859,1,16.581,3.226,13.355,1,15.870,5.639,10.231,1
ABEV3,2025-07-02,1.849,-0.575,110.607,12.230,-2.491,-1.324,-1.166,0,0.220,-2.583,2.802,0,-3.663,-3.664,0.001,0
ABEV3,2026-01-07,0.508,-0.414,40.528,13.700,3.650,2.166,1.483,0,4.453,6.392,-1.939,0,11.679,12.217,-0.538,0
ABEV3,2026-01-09,1.242,-0.381,7.318,13.900,1.439,0.918,0.521,1,7.194,9.744,-2.550,0,10.935,11.955,-1.020,0
ASAI3,2022-03-28,0.594,-2.065,109.402,15.140,4.040,2.135,1.905,0,1.768,-0.671,2.439,0,-0.063,-9.124,9.061,0
ASAI3,2022-04-05,0.038,-1.170,5.275,15.570,-1.780,-3.622,1.841,0,0.307,-5.034,5.341,0,-4.944,-10.634,5.690,0
ASAI3,2024-01-29,4.741,-0.414,7.541,13.370,-2.029,-1.199,-0.830,0,-3.261,-0.760,-2.501,0,6.594,2.207,4.388,0
AURE3,2023-06-16,0.337,-1.291,31.959,11.220,0.279,4.792,-4.513,0,-3.210,5.190,-8.400,0,-6.839,-6.665,-0.174,0
AURE3,2023-06-20,0.295,-0.824,13.691,11.210,-0.978,0.150,-1.128,1,-5.311,-0.318,-4.993,0,-5.101,-9.704,4.603,0
AURE3,2024-06-03,0.683,-1.010,37.861,12.340,-2.246,5.932,-8.178,1,-2.877,7.883,-10.760,1,-0.772,8.338,-9.109,1
AURE3,2025-05-30,0.635,-0.298,30.027,11.400,2.875,0.949,1.926,1,3.049,0.973,2.076,1,4.007,-3.802,7.809,1
AZZA3,2022-01-26,3.270,-0.976,136.168,68.650,0.110,0.279,-0.169,0,0.146,0.782,-0.636,0,0.635,0.177,0.458,0
AZZA3,2022-01-31,2.352,-0.594,21.936,68.550,-0.538,-0.241,-0.297,1,2.555,1.426,1.129,1,-1.956,2.889,-4.846,0
AZZA3,2022-02-22,1.087,-0.744,62.631,69.050,-3.750,1.853,-5.604,0,-5.947,0.367,-6.314,0,5.256,5.266,-0.011,0
AZZA3,2022-03-15,1.304,-2.666,69.029,66.720,4.258,7.817,-3.559,0,14.433,10.343,4.090,0,13.428,6.549,6.879,0
AZZA3,2022-03-24,0.756,-0.053,74.478,72.680,3.990,0.750,3.240,1,8.960,-0.078,9.038,1,6.123,-6.955,13.078,1
AZZA3,2022-05-27,0.991,-0.552,15.919,69.440,-2.038,-0.389,-1.649,0,-10.906,-5.635,-5.271,0,-15.638,-9.778,-5.860,0
AZZA3,2022-06-02,0.176,-0.453,65.665,69.180,-8.670,-4.381,-4.290,0,-13.821,-11.270,-2.551,0,-14.856,-11.805,-3.051,0
AZZA3,2022-06-23,0.308,-3.354,12.202,60.200,-2.673,0.359,-3.032,0,1.976,2.873,-0.898,0,5.294,0.729,4.565,0
AZZA3,2022-07-08,0.230,-0.418,16.718,61.460,2.905,-3.726,6.631,0,2.531,-1.507,4.038,0,18.354,6.049,12.305,0
AZZA3,2022-07-13,1.179,-1.425,31.097,60.470,4.344,0.466,3.879,1,8.506,3.513,4.993,1,21.468,12.750,8.718,1
AZZA3,2022-12-02,0.466,-0.825,10.838,74.200,-8.857,-3.752,-5.105,0,-15.273,-7.920,-7.352,0,-14.213,-4.928,-9.285,0
AZZA3,2023-01-30,1.574,-4.233,320.729,75.660,-3.064,-3.174,0.110,0,-9.091,-2.971,-6.119,0,-16.105,-6.900,-9.205,0
