ticker,data_entrada,data_saida,dias,entrada,saida,stop_inicial,shares,pnl,pnl_pct,ret_bova,ret_rel,motivo,vol_ratio,contracao
ALOS3,2023-06-02,2023-06-09,7,19.49,19.51,18.01,600,10.30,0.09,3.84,-3.76,time_stop,2.39,0.42
ALOS3,2023-11-16,2023-11-23,7,21.72,21.61,20.21,600,-61.82,-0.47,1.59,-2.06,time_stop,2.18,0.45
AURE3,2023-05-02,2023-05-09,7,12.53,11.95,11.95,1700,-985.37,-4.62,5.39,-10.02,stop_loss,2.11,0.38
AZZA3,2022-08-05,2022-08-12,7,74.04,76.30,65.17,100,225.27,3.04,5.74,-2.70,time_stop,2.11,0.48
B3SA3,2026-01-30,2026-02-06,7,16.68,17.04,15.29,700,252.00,2.16,0.58,1.57,time_stop,2.31,0.43
BBDC3,2024-08-20,2024-08-27,7,12.22,12.15,11.33,1100,-85.96,-0.64,0.43,-1.07,time_stop,2.32,0.34
BBDC3,2025-05-29,2025-06-05,7,13.05,12.87,12.12,1000,-179.92,-1.38,-1.56,0.18,time_stop,2.24,0.44
BRAP4,2023-11-16,2023-11-21,5,17.67,18.91,16.78,1100,1363.93,7.02,0.66,6.36,take_profit,2.20,0.31
BRAP4,2025-03-24,2025-03-31,7,15.34,15.10,14.41,1000,-244.45,-1.59,-0.69,-0.90,time_stop,2.28,0.46
BBAS3,2025-02-17,2025-02-24,7,27.12,26.25,25.74,700,-614.37,-3.24,-2.20,-1.03,time_stop,2.06,0.46
BPAC11,2025-05-09,2025-05-16,7,38.83,38.87,36.18,300,11.68,0.10,2.15,-2.05,time_stop,2.37,0.42
CMIG4,2023-04-13,2023-04-20,7,6.68,6.67,6.14,1800,-9.58,-0.08,-1.88,1.80,time_stop,2.02,0.42
CPLE3,2023-08-14,2023-08-21,7,7.44,7.05,7.05,2500,-994.17,-5.34,-2.22,-3.12,stop_loss,5.13,0.40
CPLE3,2025-05-09,2025-05-16,7,10.47,10.83,9.57,1100,391.64,3.40,2.15,1.24,time_stop,2.10,0.42
CPFE3,2025-11-04,2025-11-11,7,42.70,44.65,40.83,500,975.00,4.57,4.93,-0.36,time_stop,2.14,0.37
CURY3,2022-09-02,2022-09-08,6,6.79,7.26,6.28,1900,900.33,6.98,-0.85,7.83,take_profit,5.65,0.42
CURY3,2023-06-02,2023-06-06,4,10.67,11.42,9.74,1000,751.59,7.05,1.88,5.16,take_profit,2.15,0.27
CYRE3,2022-09-29,2022-09-30,1,13.97,14.95,13.04,1000,976.27,6.99,2.56,4.42,take_profit,2.54,0.47
CYRE3,2025-09-12,2025-09-19,7,27.94,28.27,25.27,300,99.58,1.19,2.57,-1.38,time_stop,2.40,0.38
ENGI11,2022-02-02,2022-02-09,7,33.08,32.35,30.93,400,-293.93,-2.22,0.50,-2.72,time_stop,2.61,0.41
ENEV3,2025-05-08,2025-05-15,7,14.00,14.50,13.10,1100,550.00,3.57,2.28,1.29,time_stop,2.69,0.34
EGIE3,2023-11-23,2023-11-30,7,28.11,27.77,26.74,700,-236.84,-1.20,0.56,-1.77,time_stop,2.39,0.31
FLRY3,2024-08-22,2024-08-29,7,14.00,13.90,13.44,1700,-163.11,-0.69,0.46,-1.14,time_stop,2.22,0.42
FLRY3,2025-09-22,2025-09-29,7,14.93,15.24,14.48,2200,685.46,2.09,1.03,1.06,time_stop,2.86,0.41
GGBR4,2022-12-01,2022-12-08,7,21.75,21.30,19.69,400,-179.06,-2.06,-3.26,1.20,time_stop,2.18,0.42
GOAU4,2022-03-21,2022-03-28,7,6.66,6.71,6.02,1500,81.93,0.82,2.30,-1.48,time_stop,2.03,0.44
GOAU4,2025-10-30,2025-11-06,7,8.11,8.18,7.63,2000,132.70,0.82,3.02,-2.20,time_stop,2.17,0.49
GOAU4,2026-01-14,2026-01-21,7,9.50,9.93,8.91,1600,688.00,4.53,4.14,0.39,time_stop,2.06,0.41
GGPS3,2024-04-01,2024-04-08,7,17.70,17.04,16.22,600,-397.87,-3.75,1.49,-5.24,time_stop,3.64,0.47
HAPV3,2025-08-15,2025-08-22,7,37.69,38.31,34.51,300,186.00,1.65,1.19,0.45,time_stop,3.38,0.49
IGTI11,2025-05-09,2025-05-16,7,21.04,21.77,19.88,800,588.57,3.50,2.15,1.34,time_stop,2.12,0.34
IGTI11,2025-11-06,2025-11-13,7,25.32,26.04,24.05,700,501.08,2.83,2.66,0.16,time_stop,2.29,0.45
IGTI11,2026-01-23,2026-01-30,7,27.37,28.33,26.24,800,771.50,3.52,1.42,2.10,time_stop,2.55,0.42
IRBR3,2024-08-26,2024-09-02,7,48.13,49.32,43.11,100,119.00,2.47,-1.58,4.06,time_stop,2.31,0.26
ITSA4,2023-12-01,2023-12-08,7,7.13,7.23,6.84,3400,324.11,1.34,-0.75,2.08,time_stop,2.23,0.28
ITSA4,2025-11-12,2025-11-19,7,11.11,10.74,10.55,1700,-621.62,-3.29,-1.58,-1.71,time_stop,2.17,0.49
ITUB4,2025-05-12,2025-05-19,7,33.59,34.40,30.88,300,244.92,2.43,2.27,0.16,time_stop,2.04,0.44
ITUB4,2025-11-12,2025-11-19,7,37.79,36.54,36.03,500,-628.02,-3.32,-1.58,-1.74,time_stop,2.00,0.47
RENT3,2025-11-12,2025-11-19,7,42.71,42.24,38.91,200,-92.89,-1.09,-1.58,0.49,time_stop,2.52,0.48
LREN3,2025-05-09,2025-05-13,4,15.57,16.66,13.43,400,436.33,7.01,1.78,5.23,take_profit,2.55,0.44
LREN3,2026-02-25,2026-03-03,6,15.98,14.66,14.66,700,-924.00,-8.26,-4.35,-3.91,stop_loss,2.07,0.43
MGLU3,2025-12-05,2025-12-09,4,11.07,9.55,9.55,600,-908.57,-13.68,0.24,-13.92,stop_loss,2.69,0.48
BEEF3,2025-04-10,2025-04-16,6,6.54,6.99,5.89,1500,680.53,6.94,1.52,5.43,take_profit,2.11,0.41
MOVI3,2023-08-10,2023-08-17,7,11.30,11.38,10.26,900,71.50,0.70,-2.75,3.45,time_stop,2.86,0.46
MULT3,2023-03-01,2023-03-03,2,22.26,21.28,21.28,1000,-980.48,-4.40,-0.77,-3.63,stop_loss,2.42,0.49
MULT3,2024-07-23,2024-07-24,1,23.73,22.75,22.75,1000,-979.86,-4.13,-0.07,-4.06,stop_loss,2.11,0.45
MULT3,2026-01-22,2026-01-28,6,30.58,32.72,28.27,400,856.00,7.00,5.01,1.98,take_profit,2.02,0.47
NEOE3,2023-06-22,2023-06-29,7,18.06,17.56,15.93,400,-201.61,-2.79,-0.30,-2.49,time_stop,2.41,0.45
NEOE3,2024-08-26,2024-09-02,7,18.82,18.39,17.82,900,-387.53,-2.29,-1.58,-0.70,time_stop,2.06,0.48
NEOE3,2025-11-25,2025-12-02,7,31.33,31.41,28.87,400,31.12,0.25,3.27,-3.02,time_stop,9.79,0.47
PETR3,2022-04-18,2022-04-25,7,13.57,13.04,12.67,1100,-580.09,-3.89,-4.22,0.33,time_stop,2.19,0.32
PETR3,2022-08-15,2022-08-17,2,17.82,19.07,15.96,500,625.82,7.02,0.94,6.09,take_profit,2.70,0.39
PETR4,2022-08-15,2022-08-18,3,16.33,17.48,14.70,600,687.16,7.01,0.89,6.12,take_profit,2.04,0.36
PETR4,2024-08-27,2024-09-03,7,32.65,32.05,30.65,400,-239.57,-1.83,-1.79,-0.05,time_stop,2.77,0.46
PSSA3,2023-02-13,2023-02-22,9,23.29,23.20,21.68,600,-52.13,-0.37,-1.77,1.40,time_stop,2.38,0.50
PSSA3,2025-05-12,2025-05-19,7,45.42,47.76,41.77,200,469.28,5.17,2.27,2.89,time_stop,3.13,0.49
RDOR3,2025-01-28,2025-02-04,7,25.65,25.41,23.82,500,-121.94,-0.95,0.73,-1.68,time_stop,2.73,0.48
RDOR3,2025-05-09,2025-05-16,7,30.39,32.36,28.46,500,986.18,6.49,2.15,4.34,time_stop,2.63,0.47
RAIL3,2022-08-15,2022-08-22,7,18.25,18.29,16.95,700,26.62,0.21,-2.06,2.26,time_stop,2.19,0.41
SBSP3,2022-09-01,2022-09-08,7,43.68,45.39,41.37,400,686.73,3.93,-0.38,4.32,time_stop,2.10,0.36
SBSP3,2024-07-23,2024-07-30,7,79.81,80.50,74.27,100,68.19,0.85,-0.20,1.05,time_stop,2.28,0.50
SBSP3,2025-05-02,2025-05-09,7,108.12,111.37,101.42,100,324.79,3.00,1.05,1.95,time_stop,2.09,0.28
SBSP3,2025-09-19,2025-09-26,7,123.64,122.29,117.70,100,-135.25,-1.09,-0.25,-0.85,time_stop,3.95,0.46
SBSP3,2025-12-03,2025-12-05,2,137.11,132.69,132.69,200,-883.88,-3.22,-2.66,-0.56,stop_loss,2.03,0.44
SANB11,2025-10-30,2025-11-03,4,28.93,30.96,27.53,700,1420.13,7.01,1.15,5.87,take_profit,3.08,0.49
CSNA3,2023-11-16,2023-11-16,0,11.84,12.67,10.70,800,664.41,7.01,0.00,7.01,take_profit,2.60,0.45
SLCE3,2023-01-30,2023-02-06,7,16.93,17.19,15.92,900,234.43,1.54,-3.17,4.71,time_stop,2.69,0.40
SUZB3,2022-10-27,2022-11-03,7,47.64,48.20,43.37,200,110.84,1.16,2.82,-1.65,time_stop,2.67,0.46
TAEE11,2023-11-13,2023-11-20,7,29.46,30.13,27.99,600,403.84,2.28,4.65,-2.36,time_stop,2.29,0.47
TAEE11,2025-05-02,2025-05-09,7,33.73,33.43,31.95,500,-150.32,-0.89,1.05,-1.95,time_stop,2.27,0.49
TAEE11,2025-11-12,2025-11-14,2,41.76,44.68,37.71,200,583.87,6.99,-0.06,7.06,take_profit,2.83,0.48
TIMS3,2022-06-01,2022-06-06,5,9.99,9.53,9.53,2100,-979.98,-4.67,-0.98,-3.69,stop_loss,2.19,0.50
TIMS3,2025-06-27,2025-07-04,7,20.21,21.22,19.53,1400,1415.12,5.00,3.24,1.76,time_stop,2.64,0.43
VALE3,2025-10-16,2025-10-23,7,57.59,58.69,55.94,500,546.39,1.90,2.53,-0.63,time_stop,2.10,0.48
VALE3,2026-01-22,2026-01-29,7,82.50,88.28,75.64,100,578.00,7.01,4.00,3.01,take_profit,2.70,0.43
VBBR3,2022-02-17,2022-02-24,7,17.98,17.30,16.29,500,-341.99,-3.80,-1.48,-2.32,time_stop,2.04,0.49
VBBR3,2026-02-06,2026-02-13,7,30.99,31.73,28.21,300,222.00,2.39,2.09,0.30,time_stop,2.18,0.46
YDUQ3,2023-06-22,2023-06-29,7,17.89,17.49,14.47,200,-80.12,-2.24,-0.30,-1.94,time_stop,2.13,0.43
