ticker,data_sinal,mrs_sinal,rsv_sinal,dias_rsv_pos,dias_subindo,quebras,preco_entrada,ret_5d,ret_bova_5d,ret_rel_5d,mrs_virou_5d,ret_10d,ret_bova_10d,ret_rel_10d,mrs_virou_10d,ret_20d,ret_bova_20d,ret_rel_20d,mrs_virou_20d
ABEV3,2024-07-25,-5.481,11.784,2,10,1,9.880,-0.928,1.087,-2.015,0,4.304,2.361,1.943,0,9.705,7.483,2.222,0
ASAI3,2023-08-07,-20.883,68.971,3,10,1,13.440,-5.191,-1.989,-3.202,0,-5.624,-4.169,-1.454,0,-11.680,-1.272,-10.408,0
ASAI3,2023-08-08,-19.113,42.016,4,10,1,13.680,-7.153,-2.516,-4.637,0,-8.144,-2.481,-5.663,0,-9.561,-1.431,-8.129,0
ASAI3,2024-10-22,-38.921,39.509,9,10,1,7.070,3.567,0.593,2.974,0,5.350,0.514,4.836,0,-4.801,-2.292,-2.509,0
ASAI3,2024-10-23,-38.594,37.721,10,10,1,7.050,5.640,1.129,4.511,0,3.989,0.389,3.600,0,-0.963,0.167,-1.130,0
ASAI3,2024-10-28,-37.788,80.547,2,10,1,7.190,4.043,-0.540,4.583,0,-4.582,-2.730,-1.852,0,-0.135,-2.926,2.791,0
ASAI3,2024-10-29,-36.213,154.388,3,10,1,7.320,1.722,-0.079,1.800,0,-4.503,-2.397,-2.106,0,-10.331,-4.676,-5.655,0
ASAI3,2024-10-30,-34.920,69.900,4,10,1,7.440,-1.563,-0.731,-0.832,0,-7.813,-2.279,-5.533,0,-14.063,-3.859,-10.203,0
ASAI3,2026-01-08,-31.267,274.160,3,10,1,7.350,-0.816,1.848,-2.665,0,8.844,8.233,0.610,0,18.367,11.936,6.431,0
AURE3,2024-10-18,-14.088,51.279,3,10,1,11.810,0.660,-0.959,1.619,0,0.880,-0.737,1.617,0,-1.466,-2.070,0.604,0
AZZA3,2025-12-30,-25.442,97.262,2,10,0,25.160,-1.789,1.013,-2.801,0,-5.326,2.880,-8.206,0,7.472,13.703,-6.230,0
AZZA3,2026-01-02,-24.466,79.228,3,10,0,25.390,-6.696,1.741,-8.437,0,-7.089,2.675,-9.765,0,5.317,13.244,-7.926,0
AZZA3,2026-01-05,-25.985,98.384,4,10,1,25.060,-5.587,1.028,-6.615,0,-5.188,2.157,-7.345,0,4.509,13.046,-8.536,0
B3SA3,2024-12-11,-7.909,63.611,4,10,1,9.880,-5.101,-6.721,1.620,0,-0.289,-7.385,7.096,0,-4.702,-8.017,3.315,1
B3SA3,2024-12-12,-5.908,81.663,5,10,1,9.770,-2.918,-3.862,0.944,0,0.389,-4.441,4.830,0,2.778,-2.567,5.345,1
B3SA3,2024-12-13,-5.550,110.854,6,10,1,9.720,0.489,-2.121,2.610,0,0.427,-3.724,4.152,0,1.117,-2.713,3.830,1
B3SA3,2024-12-16,-5.310,7.209,7,10,1,9.620,1.383,-2.096,3.480,0,0.426,-3.968,4.393,0,2.911,-0.807,3.718,1
