time_stop,combo,ticker,data_entrada,data_saida,dias,mrs_entrada,cruzamentos,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo
5,TS5d,ALOS3,2024-01-30,2024-02-06,5,-4.087,3,20.870,21.100,1.111,2.679,-1.568,time_stop
5,TS5d,ALOS3,2024-02-09,2024-02-20,5,-4.702,3,20.690,20.590,-0.498,1.660,-2.158,time_stop
7,TS7d,ALOS3,2024-01-30,2024-02-08,7,-4.087,3,20.870,20.790,-0.370,0.761,-1.131,time_stop
7,TS7d,ALOS3,2024-02-09,2024-02-22,7,-4.702,3,20.690,20.770,0.373,1.748,-1.375,time_stop
10,TS10d,ALOS3,2024-01-30,2024-02-15,10,-4.087,3,20.870,20.210,-3.128,0.397,-3.525,time_stop
5,TS5d,ABEV3,2023-06-20,2023-06-27,5,-4.600,3,11.930,12.180,2.125,-1.770,3.895,time_stop
5,TS5d,ABEV3,2025-08-04,2025-08-11,5,-4.486,5,11.100,11.030,-0.646,1.923,-2.569,time_stop
7,TS7d,ABEV3,2023-06-20,2023-06-29,7,-4.600,3,11.930,12.060,1.062,-0.786,1.848,time_stop
7,TS7d,ABEV3,2025-08-04,2025-08-13,7,-4.486,5,11.100,10.860,-2.179,2.815,-4.994,time_stop
10,TS10d,ABEV3,2023-06-20,2023-07-04,10,-4.600,3,11.930,11.990,0.531,-0.501,1.032,time_stop
10,TS10d,ABEV3,2025-08-04,2025-08-18,10,-4.486,5,11.100,10.810,-2.583,3.331,-5.914,time_stop
5,TS5d,ANIM3,2022-11-14,2022-11-22,5,-4.502,4,4.990,4.320,-13.495,-3.817,-9.678,time_stop
5,TS5d,ANIM3,2023-08-15,2023-08-22,5,-4.742,6,3.370,3.470,2.813,0.036,2.777,time_stop
5,TS5d,ANIM3,2025-11-04,2025-11-05,1,-4.542,3,3.300,3.460,5.000,1.932,3.068,take_profit
5,TS5d,ANIM3,2025-11-17,2025-11-25,5,-4.643,5,3.510,3.600,2.564,-0.533,3.097,time_stop
5,TS5d,ANIM3,2026-03-09,2026-03-10,1,-4.685,5,4.300,4.520,5.000,1.405,3.595,take_profit
7,TS7d,ANIM3,2022-11-14,2022-11-24,7,-4.502,4,4.990,4.330,-13.149,-0.952,-12.197,time_stop
7,TS7d,ANIM3,2023-08-15,2023-08-24,7,-4.742,6,3.370,3.350,-0.767,0.828,-1.595,time_stop
7,TS7d,ANIM3,2025-11-04,2025-11-05,1,-4.542,3,3.300,3.460,5.000,1.932,3.068,take_profit
7,TS7d,ANIM3,2025-11-17,2025-11-26,6,-4.643,5,3.510,3.690,5.000,1.268,3.732,take_profit
7,TS7d,ANIM3,2026-03-09,2026-03-10,1,-4.685,5,4.300,4.520,5.000,1.405,3.595,take_profit
10,TS10d,ANIM3,2022-11-14,2022-11-29,10,-4.502,4,4.990,3.740,-25.087,-1.785,-23.302,time_stop
10,TS10d,ANIM3,2023-08-15,2023-08-29,10,-4.742,6,3.370,3.310,-1.790,2.002,-3.792,time_stop
10,TS10d,ANIM3,2025-11-04,2025-11-05,1,-4.542,3,3.300,3.460,5.000,1.932,3.068,take_profit
10,TS10d,ANIM3,2025-11-17,2025-11-26,6,-4.643,5,3.510,3.690,5.000,1.268,3.732,take_profit
10,TS10d,ANIM3,2026-03-09,2026-03-10,1,-4.685,5,4.300,4.520,5.000,1.405,3.595,take_profit
5,TS5d,ASAI3,2024-05-31,2024-06-07,5,-4.094,6,12.050,11.630,-3.459,-1.289,-2.170,time_stop
7,TS7d,ASAI3,2024-05-31,2024-06-11,7,-4.094,6,12.050,11.630,-3.459,-0.556,-2.903,time_stop
10,TS10d,ASAI3,2024-05-31,2024-06-14,10,-4.094,6,12.050,11.300,-6.195,-2.056,-4.139,time_stop
5,TS5d,AURE3,2023-07-25,2023-08-01,5,-4.509,4,12.410,12.130,-2.301,-0.390,-1.911,time_stop
