ticker,data,mrs,rsv,atr_ratio,close,variacao,ret_5d,ret_bova_5d,ret_rel_5d,ret_10d,ret_bova_10d,ret_rel_10d,ret_20d,ret_bova_20d,ret_rel_20d,dias_mrs,dias_rsv,mrs_recuo
ABEV3,2022-10-26,0.020,16.800,1.043,11.360,G,6.093,3.971,2.121,5.894,-2.464,8.358,4.437,-3.411,7.848,,,
ABEV3,2025-07-02,1.849,110.607,1.105,12.230,G,-2.491,-1.324,-1.166,0.220,-2.583,2.802,-3.663,-3.664,0.001,,,
ABEV3,2026-01-07,0.508,40.528,1.094,13.700,G,3.650,2.166,1.483,4.453,6.392,-1.939,11.679,12.217,-0.538,,,
ABEV3,2026-01-09,1.242,7.318,1.099,13.900,G,1.439,0.918,0.521,7.194,9.744,-2.550,10.935,11.955,-1.020,,,
ALOS3,2022-10-10,0.636,2.904,1.054,17.530,G,-0.905,-2.554,1.649,-1.000,-0.567,-0.433,0.429,-0.426,0.854,,,
ANIM3,2022-10-31,10.110,172.355,1.053,5.910,G,-3.796,0.134,-3.929,-23.650,-5.448,-18.202,-35.474,-3.183,-32.291,,,
ANIM3,2023-07-05,0.712,43.781,1.203,3.840,G,-7.640,-1.735,-5.905,-4.270,-1.804,-2.465,7.865,1.010,6.855,,,
ANIM3,2023-11-23,0.934,0.903,1.086,3.320,G,3.117,0.562,2.555,9.091,-0.480,9.571,11.688,4.452,7.237,,,
ANIM3,2023-11-27,0.095,10.541,1.042,3.260,G,-3.439,0.836,-4.276,10.847,0.959,9.887,17.725,6.323,11.402,,,
ANIM3,2023-12-05,2.750,142.574,1.024,3.360,G,9.255,-0.333,9.588,13.882,4.097,9.785,6.170,4.260,1.910,,,
ANIM3,2025-04-03,2.907,73.609,1.182,2.570,G,-9.195,-3.661,-5.534,18.774,-1.226,20.000,26.653,1.780,24.874,,,
ANIM3,2025-04-09,1.014,19.187,1.277,2.440,G,6.048,0.586,5.462,24.680,5.572,19.108,63.642,7.098,56.545,,,
ANIM3,2025-04-11,3.099,34.309,1.233,2.490,G,22.134,2.093,20.042,23.422,5.725,17.697,60.810,8.395,52.415,,,
ANIM3,2025-11-10,5.815,50.034,1.127,3.850,G,-12.987,1.011,-13.999,-6.494,0.473,-6.966,-9.870,1.511,-11.381,,,
ANIM3,2025-11-28,0.816,0.988,1.132,3.830,G,-8.616,-1.072,-7.545,-5.222,1.059,-6.281,-13.577,1.380,-14.957,,,
ANIM3,2026-01-07,0.602,419.615,1.017,4.020,G,0.746,2.166,-1.420,9.950,6.392,3.559,18.905,12.217,6.689,,,
ANIM3,2026-01-21,2.628,69.413,1.133,4.420,G,19.231,7.369,11.862,8.145,5.475,2.670,12.896,10.500,2.396,,,
ASAI3,2022-03-28,0.594,109.402,1.036,15.520,G,0.308,2.000,-1.692,-1.478,-1.694,0.216,-2.155,-7.851,5.696,,,
ASAI3,2024-01-29,4.741,7.541,1.167,14.010,G,-7.192,-0.713,-6.479,-8.990,-1.218,-7.772,-3.112,1.210,-4.322,,,
AURE3,2025-05-30,0.635,30.027,1.001,9.880,G,0.202,-0.649,0.851,1.417,-0.361,1.778,2.935,-5.111,8.047,,,
AXIA3,2023-11-22,0.796,51.978,1.061,35.610,G,0.717,0.098,0.619,2.299,-0.352,2.651,1.879,3.823,-1.944,,,
AXIA3,2025-08-07,7.430,116.751,1.218,39.830,G,3.531,-0.120,3.650,3.211,-1.416,4.627,9.323,3.363,5.960,,,
